10/6/2024, 1:59:02 AM - Рассчитанное минимальное количество для BTCUSDT: 0.00001
10/6/2024, 1:59:02 AM - Недостаточно BTC для минимальной продажи. Требуется: 0.00001, доступно: 0.00000979
10/6/2024, 1:59:03 AM - Рассчитанное минимальное количество для OGUSDT: 0.1
10/6/2024, 1:59:03 AM - Недостаточно OG для минимальной продажи. Требуется: 0.1, доступно: 0.0958
10/6/2024, 1:59:04 AM - Рассчитанное минимальное количество для ASRUSDT: 0.1
10/6/2024, 1:59:04 AM - Недостаточно ASR для минимальной продажи. Требуется: 0.1, доступно: 0.0935
10/6/2024, 1:59:05 AM - Рассчитанное минимальное количество для LAZIOUSDT: 0.01
10/6/2024, 1:59:05 AM - Недостаточно LAZIO для минимальной продажи. Требуется: 0.01, доступно: 0.00968
10/6/2024, 1:59:06 AM - Рассчитанное минимальное количество для SANTOSUSDT: 0.01
10/6/2024, 1:59:06 AM - Недостаточно SANTOS для минимальной продажи. Требуется: 0.01, доступно: 0.00534
10/6/2024, 1:59:07 AM - Рассчитанное минимальное количество для ALPINEUSDT: 0.01
10/6/2024, 1:59:07 AM - Недостаточно ALPINE для минимальной продажи. Требуется: 0.01, доступно: 0.0085
10/6/2024, 1:59:07 AM - Все доступные активы проданы.
10/6/2024, 1:59:08 AM - Баланс USDT успешно получен: 140.96 USDT
10/6/2024, 3:36:07 AM - Баланс USDT успешно получен: 140.96 USDT
10/6/2024, 3:36:08 AM - WebSocket подключен к Binance
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: BTCUSDT, начальная цена: 61900
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ETHUSDT, начальная цена: 2407.33
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: BNBUSDT, начальная цена: 561.9
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: NEOUSDT, начальная цена: 10.05
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: LTCUSDT, начальная цена: 66.15
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ADAUSDT, начальная цена: 0.3487
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: EOSUSDT, начальная цена: 0.4697
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: XLMUSDT, начальная цена: 0.0919
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ONTUSDT, начальная цена: 0.1808
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: TRXUSDT, начальная цена: 0.1534
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: NULSUSDT, начальная цена: 0.3131
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: VETUSDT, начальная цена: 0.02261
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: USDCUSDT, начальная цена: 1.0001
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: LINKUSDT, начальная цена: 11.21
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ONGUSDT, начальная цена: 0.3221
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: HOTUSDT, начальная цена: 0.001551
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ZRXUSDT, начальная цена: 0.3097
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: IOSTUSDT, начальная цена: 0.00496
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: DASHUSDT, начальная цена: 23.84
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ATOMUSDT, начальная цена: 4.599
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: FTMUSDT, начальная цена: 0.6081
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: DOGEUSDT, начальная цена: 0.10912
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: CVCUSDT, начальная цена: 0.1784
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: XTZUSDT, начальная цена: 0.662
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: HBARUSDT, начальная цена: 0.0529
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: STXUSDT, начальная цена: 1.814
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: IOTXUSDT, начальная цена: 0.03718
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: RLCUSDT, начальная цена: 1.466
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: CTXCUSDT, начальная цена: 0.1544
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: FTTUSDT, начальная цена: 2.6961
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: EURUSDT, начальная цена: 1.0972
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: COTIUSDT, начальная цена: 0.09687
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: SOLUSDT, начальная цена: 142.09
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: CTSIUSDT, начальная цена: 0.1208
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: CHRUSDT, начальная цена: 0.1766
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: MDTUSDT, начальная цена: 0.04189
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: STMXUSDT, начальная цена: 0.005899
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: SCUSDT, начальная цена: 0.004821
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: MKRUSDT, начальная цена: 1452
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: DCRUSDT, начальная цена: 11.8
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: STORJUSDT, начальная цена: 0.3848
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: MANAUSDT, начальная цена: 0.2933
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: BLZUSDT, начальная цена: 0.1171
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: JSTUSDT, начальная цена: 0.02868
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: CRVUSDT, начальная цена: 0.2521
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: SANDUSDT, начальная цена: 0.2513
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: NMRUSDT, начальная цена: 14.12
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: DOTUSDT, начальная цена: 4.127
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: RSRUSDT, начальная цена: 0.006384
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: TRBUSDT, начальная цена: 61.41
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: KSMUSDT, начальная цена: 18.24
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: DIAUSDT, начальная цена: 0.8548
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: RUNEUSDT, начальная цена: 4.796
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: BELUSDT, начальная цена: 0.5018
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: AVAXUSDT, начальная цена: 25.55
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: FLMUSDT, начальная цена: 0.0524
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: XVSUSDT, начальная цена: 7.35
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ALPHAUSDT, начальная цена: 0.0558
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: AAVEUSDT, начальная цена: 147.31
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: INJUSDT, начальная цена: 19.78
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: AXSUSDT, начальная цена: 4.617
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: SKLUSDT, начальная цена: 0.03659
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: GRTUSDT, начальная цена: 0.1574
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: OGUSDT, начальная цена: 4.188
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: ASRUSDT, начальная цена: 2.051
10/6/2024, 3:36:09 AM - Новая пара добавлена для отслеживания: CELOUSDT, начальная цена: 0.7324
